Order ID,Customer ID,Customer Name,Order Time,Number of Sandwiches,Total Cost (DKK)
1,C001,Customer 1,2024-10-15 11:29:00,1,78.85
2,C001,Customer 1,2024-12-11 14:57:00,2,174.79999999999998
3,C001,Customer 1,2024-11-24 14:16:00,2,163.4
4,C001,Customer 1,2024-01-08 17:28:00,1,87.39999999999999
5,C002,Customer 2,2024-10-07 08:30:00,2,163.4
6,C002,Customer 2,2024-09-05 12:30:00,2,163.4
7,C002,Customer 2,2024-03-09 13:01:00,1,78.85
8,C002,Customer 2,2024-10-06 12:52:00,5,332.5
9,C002,Customer 2,2024-10-23 18:20:00,2,163.4
10,C002,Customer 2,2024-10-07 12:58:00,3,247.95
11,C002,Customer 2,2024-02-06 12:43:00,3,236.54999999999998
12,C002,Customer 2,2024-10-25 12:56:00,1,84.55
13,C002,Customer 2,2024-09-17 14:28:00,5,349.59999999999997
14,C002,Customer 2,2024-02-19 08:44:00,1,84.55
15,C003,Customer 3,2024-06-11 12:19:00,1,84.55
16,C003,Customer 3,2024-03-31 12:34:00,4,326.8
17,C003,Customer 3,2024-08-09 14:43:00,2,174.79999999999998
18,C003,Customer 3,2024-10-05 13:47:00,1,84.55
19,C003,Customer 3,2024-01-27 11:53:00,5,417.04999999999995
20,C004,Customer 4,2024-12-07 11:52:00,3,157.7
21,C004,Customer 4,2024-09-07 14:01:00,4,262.2
22,C004,Customer 4,2024-09-27 12:52:00,4,242.25
23,C004,Customer 4,2024-11-01 11:45:00,3,157.7
24,C004,Customer 4,2024-06-17 11:32:00,4,247.95
25,C005,Customer 5,2024-03-06 12:23:00,3,236.54999999999998
26,C005,Customer 5,2024-10-26 14:51:00,2,169.1
27,C006,Customer 6,2024-04-29 13:53:00,1,78.85
28,C006,Customer 6,2024-04-16 14:33:00,1,76.0
29,C007,Customer 7,2024-10-11 19:20:00,3,239.39999999999998
30,C007,Customer 7,2024-11-16 16:42:00,3,239.39999999999998
31,C008,Customer 8,2024-01-22 14:27:00,4,326.8
32,C008,Customer 8,2024-03-31 13:04:00,1,73.14999999999999
33,C008,Customer 8,2024-04-24 13:51:00,1,84.55
34,C008,Customer 8,2024-07-06 11:02:00,5,405.65
35,C008,Customer 8,2024-10-26 09:39:00,5,399.95
36,C008,Customer 8,2024-07-06 10:15:00,5,411.34999999999997
37,C008,Customer 8,2024-08-03 11:56:00,5,399.95
38,C008,Customer 8,2024-02-18 19:46:00,1,81.7
39,C008,Customer 8,2024-09-18 12:24:00,5,405.65
40,C009,Customer 9,2024-03-25 16:03:00,2,174.79999999999998
41,C009,Customer 9,2024-05-06 11:20:00,1,84.55
42,C009,Customer 9,2024-09-20 19:53:00,2,163.4
43,C009,Customer 9,2024-07-08 14:22:00,3,245.1
44,C009,Customer 9,2024-10-21 12:17:00,2,163.4
45,C009,Customer 9,2024-10-22 11:44:00,1,73.14999999999999
46,C009,Customer 9,2024-12-09 08:47:00,3,230.85
47,C010,Customer 10,2024-07-26 12:38:00,5,315.4
48,C010,Customer 10,2024-11-03 16:07:00,4,239.39999999999998
49,C010,Customer 10,2024-11-27 13:33:00,5,326.8
50,C010,Customer 10,2024-04-06 12:42:00,1,78.85
51,C010,Customer 10,2024-02-13 18:47:00,1,87.39999999999999
52,C011,Customer 11,2024-08-25 17:31:00,3,250.79999999999998
53,C011,Customer 11,2024-07-14 15:40:00,3,245.1
54,C011,Customer 11,2024-12-01 14:13:00,2,169.1
55,C011,Customer 11,2024-10-12 10:03:00,5,411.34999999999997
56,C011,Customer 11,2024-11-21 13:13:00,3,253.64999999999998
57,C011,Customer 11,2024-04-17 13:07:00,1,73.14999999999999
58,C011,Customer 11,2024-01-22 12:01:00,4,315.4
59,C012,Customer 12,2024-02-09 11:57:00,3,236.54999999999998
60,C012,Customer 12,2024-04-08 14:34:00,4,256.5
61,C012,Customer 12,2024-04-05 13:07:00,1,73.14999999999999
62,C012,Customer 12,2024-01-07 18:26:00,2,157.7
63,C012,Customer 12,2024-08-01 14:00:00,4,250.79999999999998
64,C012,Customer 12,2024-07-09 10:52:00,2,157.7
65,C012,Customer 12,2024-02-15 14:38:00,3,245.1
66,C012,Customer 12,2024-08-18 13:18:00,1,78.85
67,C012,Customer 12,2024-04-10 14:44:00,4,245.1
68,C012,Customer 12,2024-06-11 18:53:00,2,157.7
69,C013,Customer 13,2024-02-14 12:59:00,1,84.55
70,C013,Customer 13,2024-02-28 19:29:00,5,343.9
71,C013,Customer 13,2024-11-19 12:01:00,1,78.85
72,C013,Customer 13,2024-06-21 17:30:00,3,169.1
73,C013,Customer 13,2024-07-10 14:49:00,1,76.0
74,C013,Customer 13,2024-04-07 11:19:00,2,157.7
75,C013,Customer 13,2024-03-12 11:46:00,1,84.55
76,C013,Customer 13,2024-07-27 13:15:00,5,332.5
77,C013,Customer 13,2024-05-19 12:47:00,4,242.25
78,C013,Customer 13,2024-07-19 19:17:00,4,245.1
79,C014,Customer 14,2024-04-24 11:07:00,2,84.55
80,C014,Customer 14,2024-11-20 13:58:00,4,247.95
81,C014,Customer 14,2024-01-26 12:26:00,2,84.55
82,C014,Customer 14,2024-04-05 13:26:00,1,0.0
83,C014,Customer 14,2024-07-06 11:57:00,4,242.25
84,C014,Customer 14,2024-02-13 10:11:00,4,236.54999999999998
85,C014,Customer 14,2024-06-10 13:32:00,4,253.64999999999998
86,C014,Customer 14,2024-11-10 15:05:00,2,87.39999999999999
87,C014,Customer 14,2024-05-20 13:29:00,1,0.0
88,C014,Customer 14,2024-03-11 13:04:00,5,326.8
89,C015,Customer 15,2024-11-26 17:45:00,5,343.9
90,C015,Customer 15,2024-05-20 13:46:00,1,84.55
91,C015,Customer 15,2024-03-29 11:29:00,4,326.8
92,C015,Customer 15,2024-07-23 11:52:00,5,326.8
93,C015,Customer 15,2024-08-23 08:56:00,2,163.4
94,C015,Customer 15,2024-07-04 18:54:00,1,81.7
95,C015,Customer 15,2024-05-02 18:25:00,1,76.0
96,C015,Customer 15,2024-01-08 13:22:00,4,304.0
97,C015,Customer 15,2024-10-02 16:48:00,1,81.7
98,C015,Customer 15,2024-07-12 17:11:00,1,81.7
99,C016,Customer 16,2024-07-04 11:35:00,3,236.54999999999998
100,C016,Customer 16,2024-07-19 16:23:00,5,425.59999999999997
101,C016,Customer 16,2024-09-12 14:04:00,5,425.59999999999997
102,C017,Customer 17,2024-05-03 11:45:00,1,78.85
103,C017,Customer 17,2024-07-25 12:43:00,4,321.09999999999997
104,C018,Customer 18,2024-10-15 11:52:00,1,84.55
105,C018,Customer 18,2024-03-24 16:16:00,4,332.5
